rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Noodle King,"Lotte Shopping Avenue, Karet",4.3,709,"Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet, Jakarta",Korea,250,Jam:                                      11h - 22h (Sen-Min)
Legend of Noodle,Senopati,4.6,"1,457","Jl. Senopati No. 81, Senopati, Jakarta",Korea,200,Jam:                                      11h - 22h (Sen-Min)
Umaramu Indonesian Noodle,"Menteng Huis, Cikini",4,89,"Menteng Huis, Lantai 2, Jl. Cikini Raya No. 2 - 4, Cikini, Jakarta",Indonesia,150,Jam:                                      10h - 22h (Sen-Min)
"Jjang Korean Noodle, Grill, & Chikin’",Senopati,4.2,704,"Jl. Wolter Monginsidi No. 37, Senopati, Jakarta",Korea,300,"Jam:                                      11h - 21h (Sen, Sel, Rab, Kam, Min), 11h - 21h 30m..."
Pò Noodle Bar,Senopati,4.2,206,"Jl. Prof. Joko Sutono, Blok SH No. 7B, Senopati, Jakarta",Chinese,150,Jam:                                      11h - 20h (Sen-Min)
Ncek Legenda Noodle Bar,Kelapa Gading,4.4,435,"Jl. Kelapa Hybrida Raya, Blok QK1 No. 16, Kelapa Gading, Jakarta","Bakmi, Chinese",70,"Jam:                                      7h - 16h (Sen),7h - 21h (Sel-Min)"
Holy Noodle,"Mall of Indonesia, Kelapa Gading",4.3,162,"Mall of Indonesia, Ruko Kelapa Gading Square, Blok C7, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Korea,200,Jam:                                      11h - 22h (Sen-Min)
Depot 3.6.9 Shanghai Dumpling & Noodle,Mangga Besar,3.5,55,"Jl. Mangga Besar Raya No. 57A, Mangga Besar, Jakarta",Chinese,300,Jam:                                      10h - 22h (Sen-Min)
Hunan Fish Noodle,"Plaza Senayan, Senayan",4,81,"Plaza Senayan, Lantai 3, Food Court, Jl. Asia Afrika, Senayan, Jakarta",Chinese,100,Jam:                                      10h - 22h (Sen-Min)
Pinangsari - Noodle & Chinese Food,Kota,4,73,"Jl. Pinangsia Timur No. 1, Kota, Jakarta 11110",Chinese,200,Jam:                                      6h - 16h 30m (Sen-Min)
IWS Cafe & Noodle,"Pacific Place, SCBD",3.3,57,"Pacific Place Mall, Lantai 4, Jl. Jenderal Sudirman, SCBD, Jakarta",Bakmi,150,Jam:                                      10h - 22h (Sen-Min)
Sukiya Tokyo Bowls & Noodle,Tanah Abang,3.5,23,"Jl. Cideng Timur No. 53, Tanah Abang, Jakarta",Jepang,130,Jam:                                      10h - 21h 30m (Sen-Min)
Din Tai Fung Noodle Bar,"Gandaria City Mall, Gandaria",3.9,34,"Gandaria City, Lantai Ground, Jl Sultan Iskandar Muda, Gandaria, Jakarta",Chinese,400,Jam:                                      10h - 22h (Sen-Min)
The Duck King Noodle House,"Puri Indah Mall Expansion, Puri Indah",3.6,51,"Puri Indah Mall Expansion, Lantai 2, Jl. Puri Indah Raya, Puri Indah, Jakarta","Chinese, Dimsum",300,Jam:                                      10h - 22h (Sen-Min)
The Noodle Jet Cafe,"Ruko Colosseum, Cipondoh",3.6,35,"Ruko Colosseum No. 59, Jl. Green Lake City Boulevard, Cipondoh, Tangerang",Asia,150,Jam:                                      7h 30m - 20h 30m (Sen-Min)
Salapan Noodle,Fatmawati,3.7,31,"Jl. Cipete Raya No. 18-19, Fatmawati, Jakarta","Indonesia, Bakmi",180,Jam:                                      10h - 20h (Sen-Min)
Eaton Noodles,Kelapa Gading,2.9,37,"Jl. Boulevard Raya, Blok I - J No. 1, Kelapa Gading, Jakarta","Indonesia, Chinese, Kue & Roti",150,Jam:                                      7h - 22h (Sen-Min)
China Lanzhou Ramen Noodles,"Garden Shopping Arcade, Tanjung Duren",3.6,8,"Ruko Garden Shopping Arcade, Blok B No. 8DC, Jl. Letjen S. Parman, Tanjung Duren, Jakarta","Chinese, Asia",150,Jam:                                      10h - 23h (Sen-Min)
A Paw Noodle House,"Summarecon Mall Serpong, Serpong Utara",4.1,100,"Summarecon Mall Serpong, Lantai 2, Food Temptation, Jl. Boulevard Gading Serpong, Serpong Utara, Tangerang",Chinese,150,Jam:                                      9h - 22h (Sen-Min)
Noodles Now - Neo Hotel,Mangga Dua,3,9,"Neo Hotel Mangga Dua Square, Jl. Gunung Sahari 1, Mangga Dua, Jakarta","Barat, Indonesia",120,Jam:                                      6h - 23h (Sen-Min)
SPROUTS Noodle Parlor,Fatmawati,3.2,6,"FUA Centre, Jl. Fatmawati Raya No. 39, Fatmawati, Jakarta 12420","Bakmi, Asia",80,"Jam:                                      Tutup (Sen),11h 30m - 20h (Sel-Min)"
T&T Noodle House,Pantai Indah Kapuk,2.8,16,"Ruko Camar Indah, Blok DD No. 12, Jl. Camar Indah 1, Pantai Indah Kapuk, Jakarta","Bakmi, Chinese",80,Jam:                                      10h - 22h (Sen-Min)
OPEN Restaurant - DoubleTree by Hilton Jakarta...,"DoubleTree by Hilton Hotel, Cikini",4.2,253,"DoubleTree by Hilton Jakarta - Diponegoro, Jl. Pegangsaan Timur No. 17, Cikini - Menteng, Jakarta Pusat  10310","Eropa, Barat, Asia",700,Jam:                                      6h - 22h (Sen-Min)
Satoo - Shangri-La Hotel,"Shangri-La Hotel, Jakarta, Sudirman",4.4,"1,736","Shangri-La Hotel, Jl. Jendral Sudirman Kav. 1, Sudirman, Jakarta","Indonesia, Barat",550,Jam:                                      6h - 24h (Sen-Min)
"Li Feng - Mandarin Oriental, Jakarta","Mandarin Oriental Hotel, Thamrin",4.6,447,"Hotel Mandarin Oriental, Jakarta, Jl. M. H. Thamrin, Thamrin, Jakarta 10310","Chinese, Dimsum",650,"Jam:                                      11h 30m - 14h 30m, 18h - 21h (Sen-Jum),11h 30m -..."
Ippudo,"Grand Indonesia Mall, Thamrin",4.6,816,"Grand Indonesia Mall, West Mall, Lantai 3A, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta","Ramen, Jepang",250,Jam:                                      10h - 22h (Sen-Min)
Seasonal Tastes - The Westin Jakarta,"The Westin Jakarta, Kuningan",4.4,863,"The Westin Jakarta, Jl. H. R. Rasuna Said, Kuningan, Jakarta","Indonesia, India, Barat",500,"Jam:                                      6h - 10h, 12h - 16h, 18h - 21h (Sen-Jum),6h - 10h..."
Mangkukmi Fusion and Noodles,Fatmawati,3.6,19,"Jl. Margasatwa No. 14, Fatmawati, Jakarta",Bakmi,70,"Jam:                                      Tutup (Sen),9h - 22h (Sel-Min)"
Hong Kong Cafe,Thamrin,4.3,461,"Jl. Sunda No. 5, Thamrin, Jakarta","Chinese, Dimsum",200,Jam:                                      11h - 22h (Sen-Min)
Saigon Delight,"Grand Indonesia Mall, Thamrin",4.5,507,"Grand Indonesia Mall, East Mall, Lantai 3A, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Vietnam,300,Jam:                                      10h - 22h (Sen-Min)
Sailendra - JW Marriott Hotel,"JW Marriott Hotel, Kuningan",4.1,947,"JW Marriott Hotel Jakarta, Kawasan Mega Kuningan, Jl. Dr Ide Anak Agung Gde Agung, Kuningan, Jakarta 12950","Indonesia, Jepang, India, Barat, Asia",600,Jam:                                      7h - 21h (Sen-Min)
Bakso Akiaw 99,Mangga Besar,4.9,811,"Jl. Mangga Besar Raya No. 2B, Mangga Besar, Jakarta","Bakso, Chinese",120,Jam:                                      14h - 23h (Sen-Min)
Santhai,"Kota Kasablanka, Tebet",4.3,607,"Kota Kasablanka, Lantai Lower Ground, Jl. Casablanca Raya, Tebet, Jakarta",Thai,260,"Jam:                                      11h - 22h (Sen-Sab),9h - 22h (Min)"
Golden Lamian,"Grand Indonesia Mall, Thamrin",4,233,"Grand Indonesia Mall, West Mall, Lantai 5, FoodPrint, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta","Bakmi, Chinese",140,Jam:                                      10h - 22h (Sen-Min)
Kam’s Roast,"Plaza Indonesia, Thamrin",4.3,305,"Plaza Indonesia, Lantai 3, Jl. MH Thamrin, Thamrin, Jakarta",Chinese,400,Jam:                                      10h - 22h (Sen-Min)
Born Ga,Senopati,4.8,660,"Jl. Wolter Monginsidi No. 24, Senopati, Jakarta","Korea, Barbekyu, Grill House",400,Jam:                                      11h 30m - 22h (Sen-Min)
Jittlada Restaurant,"Grand Indonesia Mall, Thamrin",4,251,"Grand Indonesia Mall, Lantai 3A, Sky Bridge, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta",Thai,250,Jam:                                      10h - 22h (Sen-Min)
Bakmi Cong Sim Medan Pasar Rame,Mangga Besar,4.6,368,"Jl. Mangga Besar Raya No. 2J, Mangga Besar, Jakarta","Bakmi, Medan, Chinese",100,"Jam:                                      0h 1m - 3h, 6h - 24h (Sen-Min)"
Dim Sum Inc.,"Plaza Festival, Kuningan",3.9,636,"Plaza Festival, Lantai Lower Ground, Jl. HR Rasuna Said, Kuningan, Jakarta","Dimsum, Chinese",200,Jam:                                      24 Jam (Sen-Min)
Magal Mapogalmegi BBQ,Senopati,4.6,882,"Jl. Senopati No. 60, Senopati, Jakarta","Barbekyu, Korea, Grill House",300,Jam:                                      11h 30m - 22h (Sen-Min)
Nara,Senopati,4.2,225,"Jl. Senopati No. 88, Senopati, Jakarta",Jepang,500,"Jam:                                      10h - 3h (Sen, Sel, Rab, Kam, Min), 10h - 4h (Jum-Sab)"
Taeyang Sung,"Neo SOHO Mall, Tanjung Duren",4.5,809,"Neo SOHO Mall, Lantai Lower Ground, Jl. Letjen. S. Parman, Tanjung Duren, Jakarta",Korea,200,"Jam:                                      11h - 22h (Sen),11h - 20h (Sel-Jum),10h - 21h (Sab-Min)"
Panda Noodle,Jatisampurna,3.2,9,"Ruko Madison Square, SHC 1 No. 5, Jatisampurna, Bekasi",Bakmi,70,"Jam:                                      8h - 21h (Sen-Jum),8h - 22h (Sab-Min)"
Bakmi Toko Tiga,Menteng,3.7,135,"Jl. KH Wahid Hasyim No. 63A, Menteng, Jakarta",Chinese,130,Jam:                                      9h - 22h (Sen-Min)
Do An,"Menteng Central, Menteng",3.9,115,"Menteng Central, Lantai Ground, Jl. HOS Cokroaminoto, Menteng, Jakarta",Vietnam,200,Jam:                                      11h - 21h (Sen-Min)
The Social Pot Shabu and Grill,"Lotte Shopping Avenue, Karet",4.6,771,"Lotte Shopping Avenue, Lantai 3F, Jl. Prof Dr Satrio, Karet, Jakarta","Jepang, Grill House",300,Jam:                                      10h - 22h (Sen-Min)
Haka Dimsum Shop,Kemang,4.2,314,"Jl. Kemang Selatan VIII No.44A, Kemang, Jakarta",Dimsum,100,Jam:                                      24 Jam (Sen-Min)
Echigoya Ramen,Melawai,4.3,267,"Jl. Melawai 8 No. 2A, Melawai, Jakarta","Ramen, Jepang",250,"Jam:                                      11h 30m - 14h, 18h - 1h (Sen-Jum),11h 30m - 14h 30m..."
ROMA Osteria & Bar,SCBD,3.9,25,"#03-01, Ground Floor, Sequis Tower, Jl. Jend. Sudirman Number Kav. 71, Daerah Khusus Ibukota, SCBD, Jakarta",Itali,600,Jam:                                      12h - 22h (Sen-Min)
Haidilao Hot Pot,"Grand Indonesia Mall, Thamrin",3.9,30,"Mall Grand Indonesia, East Mall Unit EM- 01, Jl. M.H. Thamrin 1, Thamrin, Jakarta",Chinese,200,Jam:                                      11h - 20h (Sen-Min)
Cupbop,"Central Park, Tanjung Duren",3.7,390,"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",Korea,100,"Jam:                                      11h - 20h (Sen-Jum),10h - 21h (Sab-Min)"
Stuja Coffee,Fatmawati,3.8,114,"Salapan Noodle, Jl. Cipete Raya No. 18-19, Fatmawati, Jakarta","Kopi, Minuman",100,"Jam:                                      10h - 21h (Sen-Jum),10h - 22h (Sab),8h - 20h (Min)"
Bakmi Roxy,Cikini,3.3,38,"Jl. Cikini Raya No. 55, Cikini, Jakarta","Bakmi, Chinese",55,Jam:                                      8h - 1h (Sen-Min)
Bakmi Karet Asiu,Kelapa Gading,4.1,148,"Jl. Kopyor Raya, Blok Q1 No. 10, Kelapa Gading, Jakarta","Bakmi, Chinese",75,Jam:                                      6h 30m - 16h (Sen-Min)
Hong Kong Sheng Kee Dessert,"Mall Taman Anggrek, Tanjung Duren",4.2,304,"Mall Taman Anggrek, Lantai 4, Jl. Tanjung Duren Timur 2, Tanjung Duren, Jakarta","Chinese, Dimsum, Desserts",220,Jam:                                      10h - 21h (Sen-Min)
Chunghae Soosan,Senopati,4,73,"Jl. Senopati No. 49, Senopati, Jakarta","Korea, Barbekyu, Grill House",650,"Jam:                                      11h - 22h (Sen, Sel, Rab, Kam, Min), 11h - 23h..."
Tamba,Melawai,4.3,172,"Jl. Melawai 8 No. 4, Melawai, Jakarta",Jepang,300,"Jam:                                      11h 30m - 14h 30m, 18h - 22h (Sen-Min)"
Fish Village Restaurant,Pluit,4.3,350,"Jl. Pluit Permai Raya No. 37, Pluit, Jakarta 14450","Chinese, Seafood",250,"Jam:                                      10h - 22h (Sen-Jum),8h - 22h (Sab-Min)"
Bakmi Aliang,Gunung Sahari,4.1,116,"Jl. Pademangan No. 26, Gunung Sahari, Jakarta",Bakmi,80,Jam:                                      7h - 17h (Sen-Min)
Warung Bakmi Mpek Tjoen,Gandaria,4,137,"Jl. KH. Ahmad Dahlan No. 31, Gandaria, Jakarta",Asia,120,Jam:                                      8h - 22h (Sen-Min)
Yoshi Izakaya - Gran Melia,"Gran Melia Hotel, Kuningan",3.9,80,"Gran Melia Hotel, Jl. HR Rasuna Said, Kuningan, Jakarta","Jepang, Sushi",1200,"Jam:                                      11h 30m - 14h 30m, 18h - 22h 30m (Sen-Min)"
QQ Kopitiam,"Plaza Indonesia, Thamrin",2,57,"Plaza Indonesia, Lantai 5, Jl MH Thamrin, Thamrin, Jakarta","Peranakan, Indonesia, Desserts",150,Jam:                                      10h - 22h (Sen-Min)
Kitchenette,"Kota Kasablanka, Tebet",4,48,"Kota Kasablanka, Lantai Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta","Itali, Asia, Barat",350,Jam:                                      11h - 20h (Sen-Min)
Fish & Chips Threehouse,Bendungan Hilir,3.7,30,"Park Royale Executive Suites, Tower 1, Jl Gatot Subroto Kav 35-39, Bendungan Hilir, Jakarta",Barat,250,"Jam:                                      10h - 21h 30m (Sen),10h - 21h (Sel-Sab),Tutup (Min)"
Ga Ya Sung,"Grand Wijaya Center, Dharmawangsa",3.8,59,"Grand Wijaya Center, Jl. Wijaya 2, Dharmawangsa, Jakarta",Korea,150,Jam:                                      11h - 22h (Sen-Min)
Seroeni,"Lippo Mall Puri @ St. Moritz, Puri Indah",4.3,324,"Lippo Mall Puri @ The St. Moritz, Lantai 1, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta","Malaysia, Chinese",350,Jam:                                      10h - 22h (Sen-Min)
3rd Place - Posto Dormire Hotel,Grogol,4.1,109,"Posto Dormire Hotel, Jl. Dr. Susilo Raya No. 3, Grogol, Jakarta","Barat, Indonesia",200,Jam:                                      10h - 22h (Sen-Min)
Ikkudo Ichi,"Ruko Crown Golf, Pantai Indah Kapuk",4.3,524,"Ruko Crown Golf, Blok D No. 2-3, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Jakarta","Ramen, Jepang",180,Jam:                                      11h - 22h (Sen-Min)
Bakmi Tiga Marga,Kebayoran Lama,3.6,40,"Jl. Biduri Bulan Blok I No. 12, Kebayoran Lama, Jakarta","Bakmi, Chinese",150,"Jam:                                      Tutup (Sen),7h - 14h (Sel-Min)"
Bakmi Metro,Sunter,3.9,92,"Jl. Danau Sunter Garden, Blok D8, Sunter, Jakarta",Bakmi,90,Jam:                                      6h 30m - 14h (Sen-Min)
Bakmi Ajong,Gunung Sahari,3.9,60,"Jl. Pademangan II Raya Samping, Gang 3 No. 18, Gunung Sahari, Jakarta",Bakmi,75,Jam:                                      17h - 1h (Sen-Min)
Bakmi Win,SCBD,3.6,44,"Jl. Tulodong Atas No.16, SCBD, Jakarta","Bakmi, Chinese",60,"Jam:                                      7h - 18h (Sen-Jum),8h - 18h (Sab-Min)"
Stark Taproom,SCBD,3.1,29,"Jl. Jend. Sudirman, Blok LOT No. 21, SCBD, Jakarta",Dimsum,300,"Jam:                                      7h - 22h (Sen-Jum),7h - 24h (Sab-Min)"
